Nomor_Aju;Tanggal_Aju;Importir;Negara_Asal;Pelabuhan_Muat;Pelabuhan_Bongkar;HS_Code;Uraian_Barang;Nilai_FOB_USD;Freight_USD;Insurance_USD;Nilai_CIF_USD;Tarif_BM;Nilai_BM_IDR;Status_Jalur
688956-223481-20260508;2026-05-08;PT. Karya Logistik;CN;CNCGO;IDTPP;85171200;Smartphone / Telepon Seluler;85.812,61;6.047,32;429,06;92.288,99;0%;Rp 0;Hijau
374492-912609-20260412;2026-04-12;PT. Bina Mandiri;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;5.219,18;613,74;26,10;5.859,02;0%;Rp 0;Hijau
372933-838237-20260614;2026-06-14;PT. Bina Logistik;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;9.077,25;974,62;45,39;10.097,26;5%;Rp 8.178.781;Hijau
567951-324993-20260428;2026-04-28;PT. Sukses Abadi;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;35.462,13;3.796,80;177,31;39.436,24;5%;Rp 31.943.354;Hijau
741599-399449-20260206;2026-02-06;PT. Sukses Sejahtera;SG;SGSIN;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;3.050,20;236,38;15,25;3.301,83;10%;Rp 5.348.965;Merah
827691-615060-20260309;2026-03-09;PT. Jaya Abadi;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;17.552,50;1.284,59;87,76;18.924,85;5%;Rp 15.329.128;Hijau
309902-228594-20260205;2026-02-05;PT. Karya Utama;SG;SGSIN;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;64.123,83;3.967,51;320,62;68.411,96;0%;Rp 0;Hijau
242321-994253-20260305;2026-03-05;PT. Bina Logistik;SG;SGSIN;IDTPP;61091010;Pakaian / T-shirt Katun;1.941,12;86,40;9,71;2.037,23;15%;Rp 4.950.469;Kuning
177649-574001-20260710;2026-07-10;PT. Makmur Abadi;JP;JPTYO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;16.673,25;1.820,35;83,37;18.576,97;0%;Rp 0;Kuning
281043-848022-20260524;2026-05-24;PT. Nusantara Gemilang;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;18.248,89;1.916,72;91,24;20.256,85;0%;Rp 0;Hijau
566732-192055-20260518;2026-05-18;PT. Jaya Mandiri;JP;JPTYO;IDTPP;85444290;Kabel Listrik dengan Konektor;34.138,72;4.095,88;170,69;38.405,29;5%;Rp 31.108.285;Hijau
949884-815054-20260309;2026-03-09;PT. Cahaya Gemilang;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;3.028,00;362,55;15,14;3.405,69;5%;Rp 2.758.609;Hijau
986593-435112-20260711;2026-07-11;PT. Bina Mandiri;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;2.739,28;231,29;13,70;2.984,27;0%;Rp 0;Hijau
800280-464301-20260530;2026-05-30;PT. Cahaya Utama;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;24.992,47;2.537,21;124,96;27.654,64;5%;Rp 22.400.258;Kuning
844007-168093-20260420;2026-04-20;PT. Bina Abadi;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;19.079,73;2.205,26;95,40;21.380,39;0%;Rp 0;Hijau
676713-668507-20260530;2026-05-30;PT. Bina Utama;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;18.044,41;1.948,29;90,22;20.082,92;5%;Rp 16.267.165;Hijau
404466-414527-20260413;2026-04-13;PT. Maju Gemilang;SG;SGSIN;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;20.246,51;1.210,50;101,23;21.558,24;0%;Rp 0;Kuning
992717-265156-20260403;2026-04-03;PT. Karya Sejahtera;JP;JPTYO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;5.907,45;449,22;29,54;6.386,21;10%;Rp 10.345.660;Hijau
846385-844031-20260226;2026-02-26;PT. Sentosa Gemilang;CN;CNCGO;IDTPP;61091010;Pakaian / T-shirt Katun;17.653,77;888,56;88,27;18.630,60;15%;Rp 45.272.358;Kuning
834233-768676-20260205;2026-02-05;PT. Cahaya Gemilang;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;18.990,36;2.209,04;94,95;21.294,35;0%;Rp 0;Kuning
282547-932250-20260511;2026-05-11;PT. Bina Abadi;SG;SGSIN;IDTPP;85444290;Kabel Listrik dengan Konektor;5.669,06;501,68;28,35;6.199,09;5%;Rp 5.021.263;Hijau
479052-633469-20260507;2026-05-07;PT. Bina Mandiri;JP;JPTYO;IDTPP;85171200;Smartphone / Telepon Seluler;125.358,06;7.307,30;626,79;133.292,15;0%;Rp 0;Merah
335134-227257-20260124;2026-01-24;PT. Bina Abadi;US;USLAX;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;23.590,50;2.211,28;117,95;25.919,73;10%;Rp 41.989.963;Hijau
310743-930541-20260713;2026-07-13;PT. Sukses Utama;SG;SGSIN;IDTPP;85444290;Kabel Listrik dengan Konektor;3.198,50;286,11;15,99;3.500,60;5%;Rp 2.835.486;Hijau
245622-348235-20260113;2026-01-13;PT. Karya Logistik;CN;CNCGO;IDTPP;84713020;Laptop / Portable ADP;29.373,97;2.016,61;146,87;31.537,45;0%;Rp 0;Hijau
928766-618019-20260809;2026-08-09;PT. Jaya Abadi;CN;CNCGO;IDTPP;84713020;Laptop / Portable ADP;4.148,00;203,60;20,74;4.372,34;0%;Rp 0;Kuning
127560-478427-20260129;2026-01-29;PT. Bina Utama;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;34.354,95;3.219,95;171,77;37.746,67;5%;Rp 30.574.803;Hijau
680933-700076-20260209;2026-02-09;PT. Bina Mandiri;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;53.654,18;4.379,50;268,27;58.301,95;5%;Rp 47.224.580;Hijau
486831-590110-20260610;2026-06-10;PT. Sukses Gemilang;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;4.989,95;507,90;24,95;5.522,80;5%;Rp 4.473.468;Hijau
942700-678443-20260210;2026-02-10;PT. Bina Abadi;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;42.448,69;3.464,37;212,24;46.125,30;5%;Rp 37.361.493;Hijau
236074-741674-20260722;2026-07-22;PT. Makmur Mandiri;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;21.924,00;2.371,62;109,62;24.405,24;5%;Rp 19.768.244;Hijau
190403-168941-20260624;2026-06-24;PT. Sentosa Abadi;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;35.827,54;3.014,98;179,14;39.021,66;10%;Rp 63.215.089;Hijau
424314-517500-20260419;2026-04-19;PT. Karya Logistik;US;USLAX;IDTPP;84145949;Kipas Angin Industri;130.112,09;11.043,27;650,56;141.805,92;5%;Rp 114.862.795;Hijau
851759-853789-20260602;2026-06-02;PT. Sukses Gemilang;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;9.952,05;1.096,04;49,76;11.097,85;5%;Rp 8.989.258;Hijau
601916-651231-20260117;2026-01-17;PT. Maju Gemilang;JP;JPTYO;IDTPP;84145949;Kipas Angin Industri;5.407,36;390,84;27,04;5.825,24;5%;Rp 4.718.444;Hijau
530749-906527-20260409;2026-04-09;PT. Jaya Logistik;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;4.594,35;233,03;22,97;4.850,35;5%;Rp 3.928.784;Hijau
529322-963333-20260408;2026-04-08;PT. Sentosa Gemilang;KR;KRPUS;IDTPP;61091010;Pakaian / T-shirt Katun;5.019,21;212,33;25,10;5.256,64;15%;Rp 12.773.635;Hijau
702826-177333-20260602;2026-06-02;PT. Bina Mandiri;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;12.179,12;1.222,92;60,90;13.462,94;0%;Rp 0;Kuning
231414-432427-20260430;2026-04-30;PT. Cahaya Utama;KR;KRPUS;IDTPP;94036090;Furnitur Kayu Lainnya;20.118,24;1.803,09;100,59;22.021,92;5%;Rp 17.837.755;Hijau
773540-177767-20260516;2026-05-16;PT. Sukses Utama;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;18.620,70;1.793,66;93,10;20.507,46;0%;Rp 0;Kuning
571832-588461-20260306;2026-03-06;PT. Nusantara Sejahtera;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;36.048,48;2.056,10;180,24;38.284,82;5%;Rp 31.010.704;Kuning
813145-642491-20260522;2026-05-22;PT. Sentosa Logistik;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;13.569,80;690,83;67,85;14.328,48;5%;Rp 11.606.069;Hijau
461249-234568-20260809;2026-08-09;PT. Cahaya Utama;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;76.438,43;3.146,48;382,19;79.967,10;5%;Rp 64.773.351;Hijau
969325-918164-20260103;2026-01-03;PT. Global Sejahtera;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;9.724,58;661,73;48,62;10.434,93;5%;Rp 8.452.293;Hijau
678083-770872-20260624;2026-06-24;PT. Cahaya Sejahtera;KR;KRPUS;IDTPP;94036090;Furnitur Kayu Lainnya;349.480,48;30.472,40;1.747,40;381.700,28;5%;Rp 309.177.227;Hijau
716338-290802-20260704;2026-07-04;PT. Jaya Abadi;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;28.305,20;2.020,41;141,53;30.467,14;5%;Rp 24.678.383;Kuning
905077-235300-20260130;2026-01-30;PT. Cahaya Utama;KR;KRPUS;IDTPP;61091010;Pakaian / T-shirt Katun;4.776,25;358,21;23,88;5.158,34;15%;Rp 12.534.766;Kuning
553633-627290-20260624;2026-06-24;PT. Jaya Utama;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;3.695,71;415,15;18,48;4.129,34;5%;Rp 3.344.765;Hijau
158104-971776-20260518;2026-05-18;PT. Cahaya Mandiri;CN;CNCGO;IDTPP;85171200;Smartphone / Telepon Seluler;23.836,35;1.617,55;119,18;25.573,08;0%;Rp 0;Kuning
230192-643269-20260712;2026-07-12;PT. Sukses Mandiri;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;10.217,37;828,82;51,09;11.097,28;5%;Rp 8.988.797;Hijau
260448-418897-20260310;2026-03-10;PT. Jaya Abadi;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;31.470,33;3.231,76;157,35;34.859,44;5%;Rp 28.236.146;Hijau
272655-269834-20260716;2026-07-16;PT. Makmur Sejahtera;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;23.573,66;1.690,78;117,87;25.382,31;5%;Rp 20.559.671;Hijau
438334-843788-20260614;2026-06-14;PT. Karya Gemilang;SG;SGSIN;IDTPP;85444290;Kabel Listrik dengan Konektor;12.241,72;1.098,90;61,21;13.401,83;5%;Rp 10.855.482;Hijau
336422-462831-20260329;2026-03-29;PT. Sentosa Abadi;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;4.836,02;527,07;24,18;5.387,27;0%;Rp 0;Hijau
644103-397846-20260129;2026-01-29;PT. Nusantara Abadi;US;USLAX;IDTPP;84145949;Kipas Angin Industri;2.169,35;251,56;10,85;2.431,76;5%;Rp 1.969.726;Hijau
987025-182690-20260317;2026-03-17;PT. Global Abadi;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;7.817,98;404,70;39,09;8.261,77;5%;Rp 6.692.034;Kuning
362778-305837-20260422;2026-04-22;PT. Sentosa Logistik;JP;JPTYO;IDTPP;85171200;Smartphone / Telepon Seluler;37.334,70;4.260,90;186,67;41.782,27;0%;Rp 0;Hijau
765905-677599-20260210;2026-02-10;PT. Global Utama;SG;SGSIN;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;17.273,22;1.370,96;86,37;18.730,55;10%;Rp 30.343.491;Hijau
387782-231250-20260427;2026-04-27;PT. Sukses Mandiri;JP;JPTYO;IDTPP;85171200;Smartphone / Telepon Seluler;2.996,24;181,75;14,98;3.192,97;0%;Rp 0;Hijau
755383-417534-20260101;2026-01-01;PT. Karya Abadi;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;16.445,66;1.261,89;82,23;17.789,78;5%;Rp 14.409.722;Hijau
744274-659392-20260704;2026-07-04;PT. Maju Abadi;SG;SGSIN;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;21.213,24;2.511,70;106,07;23.831,01;0%;Rp 0;Hijau
197966-626986-20260704;2026-07-04;PT. Cahaya Gemilang;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;4.625,64;367,32;23,13;5.016,09;5%;Rp 4.063.033;Hijau
772124-276827-20260309;2026-03-09;PT. Global Sejahtera;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;16.066,15;1.065,19;80,33;17.211,67;0%;Rp 0;Hijau
720556-708851-20260509;2026-05-09;PT. Karya Gemilang;KR;KRPUS;IDTPP;85171200;Smartphone / Telepon Seluler;14.326,27;1.298,99;71,63;15.696,89;0%;Rp 0;Hijau
261684-279516-20260715;2026-07-15;PT. Karya Sejahtera;US;USLAX;IDTPP;84145949;Kipas Angin Industri;3.389,49;200,70;16,95;3.607,14;5%;Rp 2.921.783;Hijau
790731-754813-20260215;2026-02-15;PT. Nusantara Utama;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;20.523,89;945,52;102,62;21.572,03;5%;Rp 17.473.344;Hijau
855638-734534-20260510;2026-05-10;PT. Sentosa Mandiri;SG;SGSIN;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;26.184,98;1.317,38;130,92;27.633,28;10%;Rp 44.765.914;Hijau
454019-983456-20260128;2026-01-28;PT. Maju Utama;SG;SGSIN;IDTPP;61091010;Pakaian / T-shirt Katun;49.004,21;2.462,15;245,02;51.711,38;15%;Rp 125.658.653;Hijau
690996-143195-20260610;2026-06-10;PT. Nusantara Mandiri;JP;JPTYO;IDTPP;84713020;Laptop / Portable ADP;47.314,04;2.467,53;236,57;50.018,14;0%;Rp 0;Hijau
965322-129751-20260318;2026-03-18;PT. Sentosa Gemilang;KR;KRPUS;IDTPP;94036090;Furnitur Kayu Lainnya;2.557,53;130,71;12,79;2.701,03;5%;Rp 2.187.834;Hijau
185168-147670-20260804;2026-08-04;PT. Sentosa Abadi;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;4.335,58;395,71;21,68;4.752,97;10%;Rp 7.699.811;Kuning
772612-908475-20260613;2026-06-13;PT. Bina Sejahtera;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;24.786,20;1.352,10;123,93;26.262,23;5%;Rp 21.272.406;Hijau
704788-377511-20260510;2026-05-10;PT. Karya Gemilang;JP;JPTYO;IDTPP;85171200;Smartphone / Telepon Seluler;24.749,07;1.674,36;123,75;26.547,18;0%;Rp 0;Hijau
782759-321048-20260605;2026-06-05;PT. Sentosa Abadi;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;24.786,57;2.769,73;123,93;27.680,23;5%;Rp 22.420.986;Hijau
904214-699929-20260220;2026-02-20;PT. Sentosa Abadi;CN;CNCGO;IDTPP;84713020;Laptop / Portable ADP;1.360.384,30;105.996,97;6.801,92;1.473.183,19;0%;Rp 0;Hijau
536822-748133-20260209;2026-02-09;PT. Makmur Abadi;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;26.504,47;2.475,64;132,52;29.112,63;5%;Rp 23.581.230;Hijau
770030-131757-20260406;2026-04-06;PT. Makmur Abadi;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;52.191,70;2.807,16;260,96;55.259,82;5%;Rp 44.760.454;Hijau
622230-757629-20260715;2026-07-15;PT. Sukses Logistik;SG;SGSIN;IDTPP;85444290;Kabel Listrik dengan Konektor;41.973,85;2.324,64;209,87;44.508,36;5%;Rp 36.051.772;Hijau
672079-403742-20260211;2026-02-11;PT. Jaya Gemilang;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;29.192,57;1.263,15;145,96;30.601,68;5%;Rp 24.787.361;Merah
773088-416768-20260519;2026-05-19;PT. Makmur Gemilang;CN;CNCGO;IDTPP;61091010;Pakaian / T-shirt Katun;9.151,54;489,74;45,76;9.687,04;15%;Rp 23.539.507;Kuning
606404-356773-20260719;2026-07-19;PT. Cahaya Sejahtera;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;33.215,21;2.068,88;166,08;35.450,17;5%;Rp 28.714.638;Hijau
943776-946567-20260516;2026-05-16;PT. Nusantara Utama;JP;JPTYO;IDTPP;84713020;Laptop / Portable ADP;5.284,90;286,23;26,42;5.597,55;0%;Rp 0;Hijau
818264-525818-20260101;2026-01-01;PT. Cahaya Abadi;JP;JPTYO;IDTPP;61091010;Pakaian / T-shirt Katun;10.054,92;473,55;50,27;10.578,74;15%;Rp 25.706.338;Hijau
411882-575575-20260603;2026-06-03;PT. Nusantara Abadi;SG;SGSIN;IDTPP;85171200;Smartphone / Telepon Seluler;7.461,89;370,49;37,31;7.869,69;0%;Rp 0;Hijau
176517-822063-20260324;2026-03-24;PT. Sentosa Abadi;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;14.738,95;1.132,87;73,69;15.945,51;5%;Rp 12.915.863;Merah
162823-265759-20260506;2026-05-06;PT. Global Sejahtera;KR;KRPUS;IDTPP;61091010;Pakaian / T-shirt Katun;214.827,42;12.139,19;1.074,14;228.040,75;15%;Rp 554.139.022;Hijau
560959-535810-20260105;2026-01-05;PT. Maju Abadi;JP;JPTYO;IDTPP;94036090;Furnitur Kayu Lainnya;1.421,24;98,27;7,11;1.526,62;5%;Rp 1.236.562;Hijau
607774-587002-20260129;2026-01-29;PT. Sukses Logistik;SG;SGSIN;IDTPP;85171200;Smartphone / Telepon Seluler;30.439,98;2.443,52;152,20;33.035,70;0%;Rp 0;Hijau
313933-456717-20260403;2026-04-03;PT. Makmur Gemilang;JP;JPTYO;IDTPP;61091010;Pakaian / T-shirt Katun;1.928,97;183,70;9,64;2.122,31;15%;Rp 5.157.213;Merah
736129-250647-20260801;2026-08-01;PT. Global Utama;KR;KRPUS;IDTPP;61091010;Pakaian / T-shirt Katun;7.583,13;327,17;37,92;7.948,22;15%;Rp 19.314.175;Hijau
427766-853258-20260726;2026-07-26;PT. Nusantara Mandiri;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;49.352,35;5.130,32;246,76;54.729,43;5%;Rp 44.330.838;Hijau
434827-869864-20260320;2026-03-20;PT. Makmur Mandiri;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;14.431,03;1.302,14;72,16;15.805,33;5%;Rp 12.802.317;Kuning
462147-518084-20260303;2026-03-03;PT. Makmur Sejahtera;SG;SGSIN;IDTPP;85171200;Smartphone / Telepon Seluler;3.665,45;170,59;18,33;3.854,37;0%;Rp 0;Kuning
237118-897615-20260115;2026-01-15;PT. Sukses Abadi;KR;KRPUS;IDTPP;85444290;Kabel Listrik dengan Konektor;5.662,58;622,24;28,31;6.313,13;5%;Rp 5.113.635;Hijau
488539-639995-20260303;2026-03-03;PT. Makmur Utama;KR;KRPUS;IDTPP;39269099;Barang dari Plastik Lainnya;30.197,59;3.432,55;150,99;33.781,13;5%;Rp 27.362.715;Kuning
688933-211341-20260526;2026-05-26;PT. Cahaya Abadi;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;5.561,15;249,62;27,81;5.838,58;5%;Rp 4.729.250;Hijau
434617-353480-20260121;2026-01-21;PT. Karya Logistik;CN;CNCGO;IDTPP;61091010;Pakaian / T-shirt Katun;17.322,31;1.076,59;86,61;18.485,51;15%;Rp 44.919.789;Hijau
589131-228473-20260122;2026-01-22;PT. Jaya Utama;CN;CNCGO;IDTPP;61091010;Pakaian / T-shirt Katun;14.110,67;1.474,51;70,55;15.655,73;15%;Rp 38.043.424;Hijau
380464-571435-20260707;2026-07-07;PT. Maju Logistik;JP;JPTYO;IDTPP;84713020;Laptop / Portable ADP;6.112,43;610,39;30,56;6.753,38;0%;Rp 0;Hijau
359961-247720-20260505;2026-05-05;PT. Global Abadi;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;175.033,54;9.585,13;875,17;185.493,84;0%;Rp 0;Hijau
201514-153063-20260728;2026-07-28;PT. Nusantara Gemilang;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;28.586,87;1.622,25;142,93;30.352,05;5%;Rp 24.585.160;Hijau
404309-502810-20260118;2026-01-18;PT. Sentosa Sejahtera;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;1.175,95;81,89;5,88;1.263,72;5%;Rp 1.023.613;Hijau
745270-538446-20260714;2026-07-14;PT. Bina Gemilang;JP;JPTYO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;16.709,71;1.316,09;83,55;18.109,35;0%;Rp 0;Hijau
360330-267457-20260517;2026-05-17;PT. Karya Mandiri;JP;JPTYO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;6.038,17;540,18;30,19;6.608,54;0%;Rp 0;Hijau
952993-443341-20260716;2026-07-16;PT. Nusantara Utama;KR;KRPUS;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;37.157,47;2.582,93;185,79;39.926,19;0%;Rp 0;Merah
705748-856157-20260202;2026-02-02;PT. Sukses Gemilang;SG;SGSIN;IDTPP;85171200;Smartphone / Telepon Seluler;5.161,46;397,45;25,81;5.584,72;0%;Rp 0;Hijau
427905-299055-20260202;2026-02-02;PT. Jaya Logistik;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;11.641,32;1.161,78;58,21;12.861,31;5%;Rp 10.417.661;Hijau
900190-267082-20260618;2026-06-18;PT. Maju Gemilang;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;24.489,13;1.051,43;122,45;25.663,01;10%;Rp 41.574.076;Hijau
622469-639728-20260502;2026-05-02;PT. Sukses Sejahtera;CN;CNCGO;IDTPP;84713020;Laptop / Portable ADP;37.756,25;2.272,74;188,78;40.217,77;0%;Rp 0;Hijau
589491-622987-20260521;2026-05-21;PT. Makmur Utama;SG;SGSIN;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;3.164,16;307,14;15,82;3.487,12;0%;Rp 0;Kuning
423528-621530-20260212;2026-02-12;PT. Bina Sejahtera;CN;CNCGO;IDTPP;85171200;Smartphone / Telepon Seluler;8.942,75;998,16;44,71;9.985,62;0%;Rp 0;Hijau
124302-194423-20260309;2026-03-09;PT. Maju Utama;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;7.555,76;611,52;37,78;8.205,06;5%;Rp 6.646.099;Kuning
512344-629996-20260516;2026-05-16;PT. Makmur Abadi;CN;CNCGO;IDTPP;84713020;Laptop / Portable ADP;6.099,76;503,65;30,50;6.633,91;0%;Rp 0;Kuning
579441-352422-20260605;2026-06-05;PT. Nusantara Gemilang;US;USLAX;IDTPP;84713020;Laptop / Portable ADP;111.139,90;5.398,48;555,70;117.094,08;0%;Rp 0;Kuning
325595-711680-20260419;2026-04-19;PT. Jaya Logistik;KR;KRPUS;IDTPP;84145949;Kipas Angin Industri;21.719,77;1.646,21;108,60;23.474,58;5%;Rp 19.014.410;Hijau
470037-151021-20260224;2026-02-24;PT. Nusantara Logistik;SG;SGSIN;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;2.942,28;243,06;14,71;3.200,05;10%;Rp 5.184.081;Hijau
152995-395023-20260519;2026-05-19;PT. Makmur Logistik;US;USLAX;IDTPP;84713020;Laptop / Portable ADP;40.192,45;2.387,34;200,96;42.780,75;0%;Rp 0;Kuning
618934-726543-20260713;2026-07-13;PT. Sukses Sejahtera;US;USLAX;IDTPP;94036090;Furnitur Kayu Lainnya;170.516,52;10.493,49;852,58;181.862,59;5%;Rp 147.308.698;Hijau
983791-786041-20260706;2026-07-06;PT. Nusantara Mandiri;JP;JPTYO;IDTPP;85171200;Smartphone / Telepon Seluler;46.117,99;3.236,69;230,59;49.585,27;0%;Rp 0;Hijau
805188-593446-20260626;2026-06-26;PT. Maju Abadi;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;2.157,61;89,77;10,79;2.258,17;5%;Rp 1.829.118;Hijau
399628-662761-20260221;2026-02-21;PT. Karya Mandiri;CN;CNCGO;IDTPP;84713020;Laptop / Portable ADP;7.472,01;491,41;37,36;8.000,78;0%;Rp 0;Kuning
108574-988324-20260702;2026-07-02;PT. Karya Utama;JP;JPTYO;IDTPP;84713020;Laptop / Portable ADP;61.101,60;3.477,65;305,51;64.884,76;0%;Rp 0;Kuning
212718-551860-20260321;2026-03-21;PT. Jaya Abadi;SG;SGSIN;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;5.714,70;378,31;28,57;6.121,58;10%;Rp 9.916.960;Kuning
240440-377319-20260413;2026-04-13;PT. Makmur Gemilang;JP;JPTYO;IDTPP;84713020;Laptop / Portable ADP;22.755,98;1.128,26;113,78;23.998,02;0%;Rp 0;Hijau
862847-483545-20260621;2026-06-21;PT. Jaya Utama;KR;KRPUS;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;33.845,48;3.765,05;169,23;37.779,76;0%;Rp 0;Hijau
900961-522842-20260616;2026-06-16;PT. Cahaya Mandiri;CN;CNCGO;IDTPP;85171200;Smartphone / Telepon Seluler;4.392,63;384,30;21,96;4.798,89;0%;Rp 0;Hijau
483713-147440-20260406;2026-04-06;PT. Global Gemilang;SG;SGSIN;IDTPP;85171200;Smartphone / Telepon Seluler;12.438,72;1.173,32;62,19;13.674,23;0%;Rp 0;Hijau
520040-153642-20260423;2026-04-23;PT. Maju Mandiri;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;273,28;28,18;1,37;302,83;5%;Rp 245.292;Hijau
697983-689107-20260513;2026-05-13;PT. Sukses Sejahtera;SG;SGSIN;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;3.907,82;312,14;19,54;4.239,50;10%;Rp 6.867.990;Hijau
304110-480133-20260426;2026-04-26;PT. Bina Sejahtera;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;9.866,68;463,28;49,33;10.379,29;10%;Rp 16.814.450;Hijau
680096-402620-20260131;2026-01-31;PT. Makmur Mandiri;CN;CNCGO;IDTPP;84713020;Laptop / Portable ADP;2.988,90;247,98;14,94;3.251,82;0%;Rp 0;Hijau
177103-505116-20260305;2026-03-05;PT. Bina Abadi;CN;CNCGO;IDTPP;85171200;Smartphone / Telepon Seluler;94.740,19;8.237,40;473,70;103.451,29;0%;Rp 0;Hijau
628750-572230-20260227;2026-02-27;PT. Nusantara Utama;JP;JPTYO;IDTPP;85444290;Kabel Listrik dengan Konektor;2.401,46;239,27;12,01;2.652,74;5%;Rp 2.148.719;Hijau
901535-676566-20260117;2026-01-17;PT. Cahaya Logistik;KR;KRPUS;IDTPP;39269099;Barang dari Plastik Lainnya;7.878,92;587,24;39,39;8.505,55;5%;Rp 6.889.496;Hijau
393308-965401-20260328;2026-03-28;PT. Global Logistik;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;15.629,08;784,68;78,15;16.491,91;5%;Rp 13.358.447;Kuning
753516-813449-20260106;2026-01-06;PT. Cahaya Mandiri;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;75.322,03;4.722,85;376,61;80.421,49;5%;Rp 65.141.407;Hijau
740725-224582-20260531;2026-05-31;PT. Bina Logistik;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;2.385,03;164,68;11,93;2.561,64;5%;Rp 2.074.928;Kuning
